before,1,2,3
intellectual property right,intellectual property rights,,
differ patient to patient,differ between patients,,
membrane of mitochondria,mitochondrial membrane,,
for the investigation of,in the analysis of,,
feedstuffs fermentation,feedstuff fermentation,,
Feedstuffs fermentation,Feedstuff fermentation,,
significantly increased,increased significantly,,
during the fermentation,during fermentation,,
mitochondria targeting,mitochondrial targeting,,
korea trade statistics,korea Trade Statistics,,
Korea trade statistics,Korea Trade Statistics,,
from above the results,Based on the above results,,
From above the results,Based on the above results,,
in the opposite manner,conversely,,
abolished specifically,specifically abolished,,
lower relatively than,relatively lower than,,
excessive of tungsten,excess tungsten,,
energetic requirement,energy requirements,,
coimmuniprecipitation,co-immunoprecipitation ,,
intented to determine,investigated ,intended to determine,
attribute to improve,contribute to improving,,
parameters utilized ,parameters used,,
interaction of three,interaction among three,,
described previously,previously described,,
immunohistochemical,IHC,,
taking into account,considering,,
metabolite analysis,metabolic analysis,,
foetal bovine serum,fetal bovine serum,,
have a higher level,intense,,
already pointed out,mentioned,,
increasing by years,increased over time,,
by following method,as follows,,
representatives of,representative of,,
by using autoclave,by autoclaving,,
slightly decreased,decreased slightly,,
take into account,consider,,
on the other hand,Conversely,,
On the other hand,Conversely,In contrast,By contract
republic of Korea,the Republic of Korea,,
Republic of Korea,the Republic of Korea,,
fungai inhibition,fungal inhibition,,
has changed a lot,changes dramatically     ,,
fill up the blank,fill a gap in,,
both fermentation,both types of fermentation,,
mis-localization,mislocalization,,
status of mother,mother's status,,
oxidative specie,oxidative species ,,
in some instance,In some instances,,
In some instance,In some instances,,
permeabilization,permeabilisation,,
that is like its,similar to their,,
mother pregnancy,mother's pregnancy,,
kept in freezing,kept frozen,,
increased highly,remarkably increased,,
subadults status,subadults’ status,,
consistence with,consistent with,,
relatively many,numerous,,
strongly higher,much higher,,
polar flagellum,polar flagella,,
nutrition state,nutritional state,,
acknowledgement,Acknowledgment,,
Acknowledgement,Acknowledgment,,
for this reason,Because of this,,
changed largely,significantly changed,,
by a process of,during,,
one of the best,an ideal,,
molecular based,molecular-based,,
period of time,period,,
actinobacteria,Actinobacteria,,
hybridization ,hybridisation ,,
suffering from,diagnosed with,,
as you can see,as demonstrated,,
over expressed,upregulated,,
identified via,identified by,,
helps to build,contribute to building,contributes to building,
acids related ,acid-related ,,
when comparing,With regards to,,
When comparing,With regards to,,
reversed-phase,reverse-phase,,
proliferate of,proliferation of,,
premeditatedly,deliberately,,
play key roles,play critical roles,,
maintaining of,Maintenance of,,
Maintaining of,Maintenance of,,
in presence of,in the presence  of,,
for confirming,to confirm,,
assistant role,assisting role,,
20 percentile,20th percentile,,
gram-positive,Gram-positive,,
can be having,may have,,
reorigramming,reprogramming,,
sterilization,sterilisation,,
characterized,characterised,,
contrastively,In contrast,,
Contrastively,In contrast,,
changed a lot,changes dramatically,,
some attempts,several attempts,,
on account of,because of,,
cross section,cross-sectional,,
regarding the,in terms of,,
not only this,Furthermore,,
Not only this,Furthermore,,
for two times,twice,,
effectual for,effective in,,
accumulate of,accumulation of,,
litter mates,littermates,,
organization,organisation,,
